symbol,Period,Avg_Volume,Avg_Daily_Return
ACB,After_News,10301437.704918033,-0.15295081967213114
ACB,Before_News,16010140.0,0.26844444444444443
BID,After_News,2746957.37704918,-0.03688524590163935
BID,Before_News,7260386.666666667,0.14333333333333334
CTG,After_News,8998078.68852459,0.03327868852459014
CTG,Before_News,9648673.333333334,0.3446666666666667
EIB,After_News,6896196.721311475,-0.2731147540983606
EIB,Before_News,16105572.222222222,0.17488888888888887
EVF,After_News,4685160.655737705,-0.3383606557377049
EVF,Before_News,17794896.666666668,0.3615555555555555
HDB,After_News,19227957.37704918,0.37540983606557377
HDB,Before_News,17762660.0,0.4328888888888889
KLB,After_News,479155.737704918,0.18704918032786885
KLB,Before_News,723937.7777777778,0.5642222222222222
LPB,After_News,2362296.7213114756,-0.3550819672131147
LPB,Before_News,3432035.5555555555,0.5843333333333333
MBB,After_News,26913313.1147541,-0.08000000000000002
MBB,Before_News,30081680.0,0.4504444444444444
MSB,After_News,7648844.262295082,-0.11065573770491804
MSB,Before_News,16593117.777777778,0.39511111111111114
NAB,After_News,1486250.8196721312,-0.05491803278688526
NAB,Before_News,2199442.222222222,0.12844444444444447
OCB,After_News,2847385.2459016396,-0.10967213114754099
OCB,Before_News,7895756.666666667,0.39299999999999996
SHB,After_News,76143791.80327868,-0.07065573770491804
SHB,Before_News,87308483.33333333,0.481
SSB,After_News,2794700.0,-0.14278688524590163
SSB,Before_News,2876756.6666666665,0.06844444444444443
STB,After_News,8771824.590163935,0.023278688524590193
STB,Before_News,11455368.888888888,0.4243333333333333
TCB,After_News,13443724.590163935,-0.15852459016393441
TCB,Before_News,22683733.333333332,0.3226666666666667
TPB,After_News,10830837.704918033,-0.10721311475409837
TPB,Before_News,27403726.966292135,0.4242696629213484
VAB,After_News,649601.6393442623,-0.17409836065573772
VAB,Before_News,1695317.2839506173,0.2540740740740741
VCB,After_News,3815203.2786885244,-0.16262295081967212
VCB,Before_News,7044940.449438202,0.10674157303370786
VIB,After_News,6210149.180327869,-0.19950819672131148
VIB,Before_News,14032492.13483146,0.2742696629213483
VNINDEX,After_News,711225293.3333334,0.2115
VNINDEX,Before_News,1078431089.0142858,0.31114285714285717
VPB,After_News,22237149.18032787,-0.09983606557377049
VPB,Before_News,40178014.60674157,0.582247191011236
